student_id,name,faculty,major,year_enrolled,current_year,gpa,status,scholarship,age,gender,city
STUD0001,Student_1,Fakultas Teknik,Manajemen,2020,Freshman,2.85,Active,Academic,21,Male,Makassar
STUD0002,Student_2,Fakultas Ekonomi,Teknik Informatika,2022,Freshman,3.65,Active,None,23,Female,Palembang
STUD0003,Student_3,Fakultas Ilmu Komputer,Akuntansi,2020,Junior,3.72,Active,None,22,Female,Surabaya
STUD0004,Student_4,Fakultas Kedokteran,Akuntansi,2020,Senior,3.52,Active,None,24,Female,Denpasar
STUD0005,Student_5,Fakultas Teknik,Sistem Informasi,2022,Freshman,2.69,Active,Academic,23,Male,Palembang
STUD0006,Student_6,Fakultas Kedokteran,Sastra Inggris,2019,Sophomore,2.77,Inactive,None,23,Male,Semarang
STUD0007,Student_7,Fakultas Ilmu Komputer,Manajemen,2019,Senior,3.32,Active,None,19,Female,Yogyakarta
STUD0008,Student_8,Fakultas Ilmu Komputer,Kedokteran,2019,Freshman,2.53,Inactive,None,21,Female,Yogyakarta
STUD0009,Student_9,Fakultas Hukum,Teknik Elektro,2019,Senior,3.26,Active,None,24,Male,Surabaya
STUD0010,Student_10,Fakultas Kedokteran,Sistem Informasi,2020,Freshman,3.27,Active,None,19,Male,Bandung
STUD0011,Student_11,Fakultas Ilmu Komputer,Kedokteran,2018,Freshman,2.68,Inactive,None,20,Male,Banjarmasin
STUD0012,Student_12,Fakultas Teknik,Ilmu Hukum,2018,Freshman,3.94,Active,Sports,22,Male,Semarang
STUD0013,Student_13,Fakultas Teknik,Teknik Elektro,2023,Sophomore,2.27,Inactive,None,19,Female,Denpasar
STUD0014,Student_14,Fakultas Ekonomi,Sastra Inggris,2021,Junior,2.91,Active,Academic,22,Female,Jakarta
STUD0015,Student_15,Fakultas Hukum,Sistem Informasi,2019,Senior,3.49,Active,Need-based,21,Female,Semarang
STUD0016,Student_16,Fakultas Sastra,Ilmu Hukum,2020,Junior,2.78,Active,None,21,Female,Medan
STUD0017,Student_17,Fakultas Ilmu Komputer,Kedokteran,2023,Freshman,2.62,Active,None,18,Male,Medan
STUD0018,Student_18,Fakultas Sastra,Sistem Informasi,2019,Junior,3.6,Active,None,20,Female,Palembang
STUD0019,Student_19,Fakultas Ekonomi,Akuntansi,2023,Freshman,4.0,Active,None,23,Male,Palembang
STUD0020,Student_20,Fakultas Ilmu Komputer,Akuntansi,2019,Senior,3.25,Active,None,21,Female,Surabaya
STUD0021,Student_21,Fakultas Kedokteran,Teknik Elektro,2021,Junior,3.67,Active,None,23,Female,Yogyakarta
STUD0022,Student_22,Fakultas Ekonomi,Ilmu Hukum,2022,Junior,3.03,Active,Need-based,21,Male,Makassar
STUD0023,Student_23,Fakultas Sastra,Kedokteran,2020,Junior,2.77,Active,None,23,Male,Surabaya
STUD0024,Student_24,Fakultas Ilmu Komputer,Teknik Elektro,2023,Freshman,3.63,Inactive,Need-based,24,Female,Semarang
STUD0025,Student_25,Fakultas Hukum,Sistem Informasi,2019,Senior,2.55,Active,None,20,Female,Semarang
STUD0026,Student_26,Fakultas Ilmu Komputer,Sastra Inggris,2021,Senior,3.24,Graduated,None,21,Male,Surabaya
STUD0027,Student_27,Fakultas Hukum,Kedokteran,2021,Freshman,3.05,Active,None,21,Female,Semarang
STUD0028,Student_28,Fakultas Hukum,Ilmu Hukum,2023,Junior,3.09,Graduated,None,22,Female,Banjarmasin
STUD0029,Student_29,Fakultas Ekonomi,Ilmu Hukum,2021,Freshman,3.59,Active,Academic,20,Female,Denpasar
STUD0030,Student_30,Fakultas Kedokteran,Akuntansi,2020,Junior,3.47,Active,None,20,Female,Banjarmasin
STUD0031,Student_31,Fakultas Sastra,Teknik Informatika,2022,Sophomore,3.12,Active,None,21,Female,Semarang
STUD0032,Student_32,Fakultas Kedokteran,Sastra Inggris,2022,Junior,2.88,Active,Academic,19,Female,Surabaya
STUD0033,Student_33,Fakultas Kedokteran,Teknik Informatika,2020,Freshman,2.81,Active,None,23,Female,Yogyakarta
STUD0034,Student_34,Fakultas Ilmu Komputer,Sistem Informasi,2018,Junior,3.37,Inactive,Need-based,21,Male,Jakarta
STUD0035,Student_35,Fakultas Ekonomi,Manajemen,2021,Freshman,3.36,Active,None,24,Male,Palembang
STUD0036,Student_36,Fakultas Kedokteran,Sistem Informasi,2020,Junior,2.12,Inactive,Need-based,21,Female,Medan
STUD0037,Student_37,Fakultas Hukum,Kedokteran,2020,Freshman,2.97,Graduated,Sports,20,Male,Jakarta
STUD0038,Student_38,Fakultas Hukum,Akuntansi,2021,Sophomore,3.38,Inactive,None,23,Male,Jakarta
STUD0039,Student_39,Fakultas Sastra,Manajemen,2019,Junior,2.87,Inactive,Academic,20,Male,Makassar
STUD0040,Student_40,Fakultas Hukum,Manajemen,2019,Freshman,1.97,Active,None,20,Male,Denpasar
STUD0041,Student_41,Fakultas Ilmu Komputer,Teknik Elektro,2022,Freshman,3.49,Active,None,19,Female,Makassar
STUD0042,Student_42,Fakultas Teknik,Akuntansi,2018,Sophomore,2.69,Active,Academic,18,Female,Jakarta
STUD0043,Student_43,Fakultas Sastra,Akuntansi,2021,Senior,3.15,Inactive,Sports,20,Male,Bandung
STUD0044,Student_44,Fakultas Ekonomi,Ilmu Hukum,2021,Freshman,3.59,Active,None,18,Male,Palembang
STUD0045,Student_45,Fakultas Ekonomi,Teknik Informatika,2023,Freshman,2.92,Inactive,None,23,Female,Denpasar
STUD0046,Student_46,Fakultas Kedokteran,Kedokteran,2018,Sophomore,3.69,Active,None,20,Female,Bandung
STUD0047,Student_47,Fakultas Teknik,Ilmu Hukum,2023,Sophomore,2.89,Active,None,22,Male,Banjarmasin
STUD0048,Student_48,Fakultas Hukum,Manajemen,2018,Senior,2.98,Active,None,21,Female,Jakarta
STUD0049,Student_49,Fakultas Ilmu Komputer,Teknik Informatika,2022,Senior,2.54,Active,Need-based,18,Male,Semarang
STUD0050,Student_50,Fakultas Kedokteran,Teknik Informatika,2021,Sophomore,3.02,Graduated,None,19,Male,Bandung
STUD0051,Student_51,Fakultas Ekonomi,Sastra Inggris,2019,Sophomore,3.71,Inactive,None,18,Female,Denpasar
STUD0052,Student_52,Fakultas Ilmu Komputer,Ilmu Hukum,2022,Freshman,3.97,Active,None,21,Female,Palembang
STUD0053,Student_53,Fakultas Ilmu Komputer,Ilmu Hukum,2019,Sophomore,3.13,Graduated,None,22,Male,Denpasar
STUD0054,Student_54,Fakultas Hukum,Kedokteran,2022,Junior,2.15,Inactive,None,21,Male,Makassar
STUD0055,Student_55,Fakultas Hukum,Sastra Inggris,2022,Junior,3.45,Active,None,18,Male,Semarang
STUD0056,Student_56,Fakultas Teknik,Akuntansi,2018,Sophomore,3.04,Active,None,21,Female,Denpasar
STUD0057,Student_57,Fakultas Hukum,Kedokteran,2018,Sophomore,3.41,Active,Need-based,20,Male,Yogyakarta
STUD0058,Student_58,Fakultas Hukum,Teknik Elektro,2023,Sophomore,3.77,Active,Need-based,18,Male,Semarang
STUD0059,Student_59,Fakultas Teknik,Sastra Inggris,2019,Senior,3.0,Inactive,None,23,Male,Jakarta
STUD0060,Student_60,Fakultas Sastra,Teknik Informatika,2020,Sophomore,2.97,Active,None,19,Female,Jakarta
STUD0061,Student_61,Fakultas Sastra,Sastra Inggris,2022,Freshman,3.06,Active,None,22,Female,Medan
STUD0062,Student_62,Fakultas Teknik,Sistem Informasi,2022,Freshman,3.14,Active,None,21,Female,Denpasar
